cut,color,carat,depth ty,width,price,date
Ideal,E,0.7,60.7,58,2762,3/8/2000
Ideal,E,0.71,62.2,57,2776,3/9/2000
Ideal,E,0.7,62.1,55,2777,3/10/2000
Ideal,E,0.71,62.7,57,2817,3/11/2000
Ideal,E,0.7,61.5,54,2835,3/12/2000
Ideal,E,0.72,62.8,57,2835,3/13/2000
Fair,F,0.82,64.9,58,2838,3/14/2000
Ideal,E,0.7,62.1,54,2839,3/15/2000
Ideal,E,0.72,Non-detect,57,2843,3/16/2000
Fair,F,0.62,60.1,61,2861,3/17/2000
Fair,F,0.88,56.6,65,2882,3/18/2000
Fair,E,0.8,56.3,63,2885,3/19/2000
Fair,F,0.91,64.9,57,2971,3/20/2000
Fair,F,0.92,64.9,58,3117,3/21/2000
Fair,F,0.9,66,57,3160,3/22/2000
Fair,F,0.71,58.7,62,3205,3/23/2000
Fair,E,0.9,65,61,3332,3/24/2000
Fair,D,0.9,66.4,59,3382,3/25/2000
Fair,E,0.92,65.6,57,3407,3/26/2000
Ideal,D,0.51,Non-detect,56,3446,3/27/2000
Ideal,D,0.51,62.1,55,3446,3/28/2000
Fair,E,0.9,65.5,59,3508,3/29/2000
Ideal,D,0.53,61.5,54,3517,3/30/2000
Fair,D,0.9,64.8,59,3689,3/31/2000
Fair,D,0.9,64.5,61,3689,4/1/2000
Fair,E,1,66.5,55,3696,4/2/2000
Fair,D,0.91,64.7,61,3730,4/3/2000
Fair,D,0.91,65.2,57,3730,4/4/2000
Fair,E,0.9,64.9,56,3743,4/5/2000
Fair,D,0.9,65.7,65,3751,4/6/2000
Ideal,D,0.53,62.2,55,3812,4/7/2000
Fair,D,0.9,60.4,61,3812,4/8/2000
Ideal,D,0.63,61.2,53,3832,4/9/2000
Fair,D,0.91,64.4,60,3855,4/10/2000
Fair,E,1.1,65.5,57,3891,4/11/2000
Fair,D,0.9,66.1,55,3945,4/12/2000
Fair,E,0.31,56.9,66,579,4/13/2000
Fair,E,1.01,65.6,59,4106,4/14/2000
Fair,E,Non-detect,66.3,62,4140,4/15/2000
Ideal,D,0.59,60.7,58,4161,4/16/2000
Fair,E,1.01,64.7,59,4181,4/17/2000
Ideal,D,0.59,60.9,57,4208,4/18/2000
Fair,E,1,58.1,63,4213,4/19/2000
Ideal,D,0.56,62.4,56,4216,4/20/2000
Fair,E,0.9,59.2,60,4220,4/21/2000
Ideal,D,0.56,61.9,57,4293,4/22/2000
Ideal,D,0.56,60.8,58,4632,4/23/2000
Ideal,D,0.59,60.9,60,4916,4/24/2000
Fair,D,1.5,64.7,62,5460,4/25/2000
Fair,D,1.7,64.7,56,5617,4/26/2000
Ideal,D,0.63,62.5,55,6549,4/27/2000
Ideal,D,2.75,60.9,57,13156,4/28/2000
Fair,D,3.4,66.8,52,15964,4/29/2000
Ideal,D,0.52,61.1,57,971,4/30/2000
Ideal,D,0.51,62.1,56,1071,5/1/2000
Fair,F,0.73,66.9,54,1158,5/2/2000
Fair,F,0.37,52.3,61,1166,5/3/2000
Fair,D,0.3,60.5,57,1208,5/4/2000
Fair,D,0.37,61.2,57,1440,5/5/2000
Fair,F,0.91,Non-detect,62,1570,5/6/2000
Fair,F,0.97,68.5,54,1787,5/7/2000
Ideal,D,0.34,61.4,55,530,5/8/2000
Ideal,D,0.34,62.5,57,530,5/9/2000
Fair,F,0.96,62.9,66,1917,5/10/2000
Fair,E,1.01,64.5,54,2036,5/11/2000
Fair,E,0.52,57.2,64,2079,5/12/2000
Fair,F,1.04,65.4,60,2134,5/13/2000
Fair,E,0.9,59.9,66,2138,5/14/2000
Fair,F,0.52,64.6,58,2144,5/15/2000
Fair,F,0.34,55.8,62,2160,5/16/2000
Fair,D,0.47,60.6,60,2211,5/17/2000
Ideal,F,0.52,62.3,57,2246,5/18/2000
Fair,F,Non-detect,Non-detect,57,2280,5/19/2000
Ideal,F,0.53,61.6,56,2290,5/20/2000
Ideal,F,0.61,61.5,54,2306,5/21/2000
Ideal,F,0.56,62.7,55,2318,5/22/2000
Ideal,F,0.54,61.3,57,2333,5/23/2000
Ideal,F,0.6,61.5,56,2358,5/24/2000
Ideal,F,0.58,61.8,57,2401,5/25/2000
Ideal,F,0.64,62.3,56,2419,5/26/2000
Ideal,F,0.64,61.1,56,2419,5/27/2000
Ideal,E,0.61,62.2,54,2485,5/28/2000
Fair,D,0.91,66.2,57,2491,5/29/2000
Ideal,E,0.62,60.3,57,2492,5/30/2000
Ideal,E,0.63,61.5,56,2503,5/31/2000
Ideal,E,0.52,61.4,57,2512,6/1/2000
Ideal,E,0.63,61.5,56,2526,6/2/2000
Ideal,E,0.65,61.4,59,2533,6/3/2000
Ideal,F,0.7,60.8,56,2535,6/4/2000
Ideal,F,0.7,Non-detect,57,2535,6/5/2000
Ideal,F,0.72,62.5,56,2546,6/6/2000
Ideal,E,0.63,61.9,55,2565,6/7/2000
Ideal,F,0.72,61.9,54,2568,6/8/2000
Fair,E,1.3,66.5,58,2571,6/9/2000
Ideal,F,0.7,62.8,56,2573,6/10/2000
Ideal,F,0.72,61.1,Non-detect,2607,6/11/2000
Ideal,F,0.72,Non-detect,57,2607,6/12/2000
Fair,F,1.2,65.7,56,2622,6/13/2000
Ideal,E,0.64,60.8,56,2679,6/14/2000
Ideal,E,0.62,61.3,56,2731,6/15/2000
