Year,Group,Location,Score,Team,Total_shots,Shots_on_target,Touches,Total_passes,Accurate_passes,Key_passes,Dribbles_won,Dribbles_attempted,Dribbles_past,Aerials_won,Offensive_aerials,Defensive_aerials,Successful_tackles,Tackles_attempted,Clearances,Interceptions,Corners,Dispossessed,Fouls,Offsides
2019,A,Ev,0,Club Brugge,12,2,551,367,265,11,10,17,11,23,25,17,11,22,20,7,5,14,15,4
2019,A,Deplasman,0,Galatasaray,10,1,706,502,397,6,11,14,10,19,17,25,21,31,21,6,4,8,12,3
2019,A,Ev,3,Paris Saint-Germain,9,5,782,618,555,9,14,21,17,6,10,3,12,29,11,13,3,9,15,1
2019,A,Deplasman,0,Real Madrid,10,0,729,555,476,8,17,21,14,7,3,10,16,30,20,8,1,8,14,2
2019,A,Ev,2,Real Madrid,27,7,935,702,632,25,8,23,9,13,13,11,19,28,4,11,14,15,7,2
2019,A,Deplasman,2,Club Brugge,7,4,448,258,167,5,9,19,8,11,11,13,30,38,30,10,1,9,15,4
2019,A,Ev,0,Galatasaray,8,1,674,498,381,6,9,16,5,21,28,19,17,22,11,9,5,6,22,0
2019,A,Deplasman,1,Paris Saint-Germain,16,6,695,502,393,10,5,17,9,26,19,28,13,22,16,13,7,5,14,2
2019,A,Ev,0,Club Brugge,8,0,?,447,361,4,9,18,7,12,15,7,15,22,6,7,3,10,15,4
2019,A,Deplasman,5,Paris Saint-Germain,13,8,705,553,451,11,7,13,9,10,7,15,19,28,18,8,3,9,11,2
2019,A,Ev,0,Galatasaray,11,3,823,606,506,10,7,15,11,24,28,16,13,24,18,10,8,14,15,2
2019,A,Deplasman,1,Real Madrid,26,12,712,491,396,19,11,14,7,20,16,28,22,29,17,19,3,10,4,1
2019,A,Ev,1,Paris Saint-Germain,10,2,897,674,609,6,9,19,13,10,5,10,21,34,10,10,8,15,5,3
2019,A,Deplasman,0,Club Brugge,14,2,577,369,302,11,13,20,9,5,10,5,25,34,22,10,6,14,16,2
2019,A,Ev,6,Real Madrid,20,11,976,796,730,16,10,13,12,7,8,11,6,18,11,9,7,12,5,1
2019,A,Deplasman,0,Galatasaray,7,1,515,360,293,7,12,13,10,12,11,8,15,25,17,13,3,5,11,2
2019,A,Ev,1,Galatasaray,7,3,549,360,252,4,8,16,7,18,22,13,12,19,26,14,0,7,17,2
2019,A,Deplasman,1,Club Brugge,13,6,619,421,323,10,7,14,8,17,13,22,15,23,7,20,4,5,21,4
2019,A,Ev,2,Real Madrid,27,12,862,665,606,20,10,17,11,5,8,3,17,28,13,14,9,14,14,0
2019,A,Deplasman,2,Paris Saint-Germain,13,4,786,586,512,9,11,18,10,6,3,8,21,31,22,9,5,10,8,2
2019,A,Ev,1,Club Brugge,8,2,649,457,379,6,8,11,19,16,12,13,19,38,5,11,6,13,12,5
2019,A,Deplasman,3,Real Madrid,11,5,800,613,526,10,19,29,8,9,13,12,16,24,10,5,5,9,10,0
2019,A,Ev,5,Paris Saint-Germain,14,10,799,620,554,13,11,15,12,9,9,8,23,35,6,10,3,9,17,6
2019,A,Deplasman,0,Galatasaray,7,0,574,416,341,5,12,17,11,8,8,9,13,24,8,17,1,18,17,1
2019,B,Ev,2,Olympiacos,17,5,653,455,391,13,12,17,9,10,12,9,16,25,25,10,2,12,10,0
2019,B,Deplasman,2,Tottenham,10,5,?,589,517,6,9,15,12,11,9,12,17,29,18,6,4,10,14,2
2019,B,Ev,3,Bayern Munich,34,11,980,784,700,23,15,23,13,11,9,11,17,30,6,7,14,6,10,1
2019,B,Deplasman,0,FK Crvena Zvezda,7,0,507,295,237,5,13,19,15,9,11,9,14,29,47,17,2,11,6,1
2019,B,Ev,2,Tottenham,15,8,584,399,325,12,13,22,11,10,11,11,17,28,25,7,6,6,15,0
2019,B,Deplasman,7,Bayern Munich,19,10,760,571,490,15,11,20,13,12,11,11,15,28,15,11,4,8,8,0
2019,B,Ev,3,FK Crvena Zvezda,20,6,611,416,343,15,7,17,12,25,21,22,12,24,14,5,8,7,17,3
2019,B,Deplasman,1,Olympiacos,11,2,487,305,217,9,12,17,7,18,22,21,17,24,19,6,1,7,16,0
2019,B,Ev,2,Olympiacos,10,3,586,401,316,9,10,18,5,14,14,17,15,20,19,8,7,8,9,0
2019,B,Deplasman,3,Bayern Munich,17,6,775,616,536,14,5,13,10,17,17,14,16,26,16,10,7,7,14,0
2019,B,Ev,5,Tottenham,19,12,798,621,546,18,12,22,7,13,6,16,21,28,11,10,4,15,10,0
2019,B,Deplasman,0,FK Crvena Zvezda,13,5,600,427,358,9,7,15,12,9,16,6,25,37,9,12,2,13,8,2
2019,B,Ev,2,Bayern Munich,27,11,883,677,609,20,13,23,9,14,14,11,18,27,3,8,14,5,12,3
2019,B,Deplasman,0,Olympiacos,3,0,495,297,213,2,9,16,13,11,11,14,15,28,27,13,1,11,10,1
2019,B,Ev,0,FK Crvena Zvezda,5,3,511,349,255,2,6,19,17,10,16,9,21,38,19,10,3,5,12,1
2019,B,Deplasman,4,Tottenham,17,6,888,710,623,15,17,31,6,15,9,16,18,24,6,8,4,7,14,3
2019,B,Ev,0,FK Crvena Zvezda,3,1,485,282,194,2,6,14,17,10,12,18,25,42,36,15,1,7,8,0
2019,B,Deplasman,6,Bayern Munich,29,16,912,669,596,19,17,33,6,20,18,12,15,21,5,15,14,9,9,7
2019,B,Ev,4,Tottenham,12,5,701,501,430,10,13,28,9,17,15,12,19,28,14,8,4,12,11,1
2019,B,Deplasman,2,Olympiacos,9,3,554,359,282,5,9,18,13,10,12,15,27,40,20,14,4,10,15,1
2019,B,Ev,1,Olympiacos,27,9,757,539,450,20,30,40,7,29,16,32,9,16,11,6,9,12,15,6
2019,B,Deplasman,0,FK Crvena Zvezda,8,2,410,231,144,5,7,14,30,19,32,16,22,52,18,15,2,2,11,1
2019,B,Ev,3,Bayern Munich,24,11,887,696,616,15,19,25,10,21,12,17,19,29,5,8,9,5,9,2
2019,B,Deplasman,1,Tottenham,7,5,482,297,209,6,10,24,19,8,17,12,11,30,34,8,1,5,9,2
2019,C,Ev,0,Shakhtar Donetsk,6,1,744,574,514,4,20,24,18,3,1,9,14,32,18,10,0,14,7,1
2019,C,Deplasman,3,Manchester City,18,5,811,648,593,14,18,20,20,7,9,1,18,38,7,14,5,12,15,4
