Air_Type,PM10,SO2,Air_temperature,Wind_speed,Wind_direction
Polluted,52.409,7.636,11.848,1.858,325.401
Polluted,93.98,7.709,9.169,1.715,321.1
Polluted,53.356,7.396,9.743,1.861,313.854
Polluted,61.002,7.622,15.548,1.162,321.557
Polluted,51.942,7.471,12.937,0.978,322.439
Polluted,63.168,7.326,14.097,1.036,321.916
Polluted,52.979,6.44,16.772,2.094,324.545
Polluted,76.823,,7.906,1.248,319.493
Polluted,56.771,7.402,7.467,1.409,324.696
Polluted,64.061,8.54,6.498,1.505,322.397
Polluted,50.049,7.927,5.194,1.176,322.742
Polluted,53.718,7.265,12.615,1.329,319.198
Polluted,99.687,9.224,10.691,0.84,317.178
Polluted,65.39,7.012,10.457,0.996,316.254
Polluted,87.559,6.822,12.767,0.848,316.761
Polluted,64.855,5.471,13.593,1.267,318.344
Polluted,58.724,5.638,13.589,0.949,317.091
Polluted,56.886,5.453,12.624,1.523,314.547
Polluted,73.237,6.993,14.849,1.125,315.383
Polluted,79.108,5.836,13.302,1.141,318.05
Polluted,70.127,6.226,15.516,0.998,317.765
Polluted,80.219,6.2,14.856,1.167,317.774
Polluted,65.08,5.802,14.77,1.175,315.654
Polluted,59.959,5.661,15.259,1.082,316.516
Polluted,58.773,5.194,16.463,1.041,318.355
Polluted,67.389,6.35,,1.973,319.901
Polluted,70.704,5.494,16.678,1.145,316.909
Polluted,60.364,4.786,18.331,1.111,316.066
Polluted,60.854,5.405,17.949,1.178,318.111
Polluted,59.055,4.898,19.622,1.375,315.651
Polluted,61.549,5.003,20.306,1.884,317.68
Polluted,61.728,5.702,20.032,1.63,318.785
Polluted,60.14,4.758,20.846,1.466,318.368
Polluted,57.105,4.904,16.358,1.537,316.637
Polluted,53.542,4.888,17.17,1.347,313.836
Polluted,55.013,4.085,18.626,1.422,312.926
Polluted,69.964,4.674,17.515,1.253,315.947
Polluted,89.775,5.074,18.301,1.231,316.357
Polluted,88.72,5.605,19.593,1.174,316.912
Polluted,80.882,5.3,19.625,1.391,317.015
Polluted,86.642,5.849,18.979,1.189,316.15
Polluted,73.795,5.697,18.633,1.171,314.591
Polluted,51.25,4.796,17.986,1.385,314.275
Polluted,60.999,5.405,22.839,1.424,315.163
Polluted,54.469,4.816,21.281,1.384,314.29
Polluted,50.464,5.358,21.321,1.272,315.369
Polluted,58.016,4.415,23.773,1.721,316.694
Polluted,51.077,4.249,27.481,1.623,310.367
Polluted,54.358,4.688,26.68,1.437,311.85
Polluted,57.704,4.67,26.221,1.472,313.133
Polluted,51.671,2.678,25.166,1.721,316.301
Polluted,52.982,4.964,25.919,1.771,318.31
Polluted,60.728,6.728,22.992,1.283,319.57
Polluted,53.451,5.377,23.1,1.51,319.011
Polluted,55.495,4.047,26.45,1.805,316.573
Polluted,53.742,4.48,25.597,1.606,317.254
Polluted,63.541,13.991,24.679,1.359,318.259
Polluted,54.166,13.588,23.159,1.416,318.799
Polluted,54.614,8.071,23.939,1.279,318.296
Polluted,66.108,9.077,20.519,1.622,322.033
